time_sec,x_cart,vel_cart,ang_pole,vel_pole,torque_input,encoder_duration_s,iteration_duration_s,bytesWaiting
0.0134019,0,0.00140055,0.00314159,-0.023978,-0.0406985,0.0131461,0.0134016,4017
0.015502,0,-0.00196077,0.00942478,-0.0800503,-0.175935,0.00125494,0.00204268,512
0.0176021,0,-0.00028011,0.00942478,-0.0919019,-0.216038,0.000214865,0.00208428,0
0.0197022,0,-0.00196077,0.00942478,-0.0693447,-0.134236,0.000649415,0.00208717,10
0.0218023,0,-0.00364143,0.00942478,-0.0213498,0.0466505,0.000308438,0.0020859,6
0.0239023,0,-0.00028011,0.00942478,0.0439529,0.313137,0.000117506,0.00208744,7
0.0260024,0,0.00308121,0.00942478,0.119274,0.618649,0.000114821,0.00208691,7
0.0281025,0,-0.00028011,0.00942478,0.198167,0.913825,0.000118197,0.00208829,7
0.0302025,0,0.00308121,0.00628319,0.299002,1.27107,0.000116735,0.00208704,7
0.0323026,0,0.00140055,0.00628319,0.377173,1.56949,0.000406167,0.00208372,13
0.0344027,7.38998e-05,0.00644253,0.00628319,0.43212,1.80198,0.000113599,0.00208585,7
0.0365028,7.38998e-05,0.0159663,0.00628319,0.463843,1.9599,0.000119059,0.00208622,7
0.0386028,7.38998e-05,0.0193276,0.00628319,0.472903,2.00731,0.000114771,0.00208759,7
0.0407029,0.000147801,0.0210082,0.00628319,0.460421,1.96503,0.000126843,0.00208659,7
0.042803,0.000221703,0.035574,0.00628319,0.428079,1.89186,0.000486054,0.00208792,10
0.0449031,0.000369504,0.0439773,0.00628319,0.37812,1.72812,0.000151108,0.00208609,6
0.0470032,0.000443405,0.058543,0.00628319,0.313347,1.52862,0.000115552,0.00208697,7
0.0491033,0.000591208,0.0619043,0.00628319,0.237125,1.2444,0.000132544,0.00208616,7
0.0512034,0.000739009,0.0781507,0.00628319,0.153378,0.977335,0.000114822,0.00208727,7
0.0533034,0.000886812,0.0781507,0.00628319,0.0665909,0.639838,0.000553719,0.00207039,10
0.0554035,0.00110851,0.0876744,0.00628319,-0.0181888,0.344782,0.000236815,0.00208704,6
0.0575036,0.00125632,0.0859937,0.00628319,-0.0953549,0.0386969,0.000112477,0.0020862,7
0.0596036,0.00140412,0.0876744,0.00314159,-0.134762,-0.155835,0.000111074,0.00208809,7
0.0617037,0.00162582,0.0843131,0.00314159,-0.169521,-0.302524,0.000110864,0.00208726,7
0.0638038,0.00177362,0.0798313,0.00314159,-0.188979,-0.393929,0.000665945,0.00208833,10
0.0659039,0.00199533,0.0731087,0.00314159,-0.182202,-0.390955,0.000307586,0.00208599,6
0.068004,0.00214313,0.0697474,0.00314159,-0.137978,-0.230267,0.000110514,0.00208764,7
0.0701041,0.00221703,0.066386,0.00314159,-0.0882952,-0.0485938,0.000112187,0.00208718,7
0.0722041,0.00236483,0.0602236,0.00314159,-0.0882952,-0.0702691,0.000110323,0.00208825,7
0.0743042,0.00251263,0.0568623,-0,-0.0660438,-0.0428172,0.000629057,0.00207958,9
0.0764043,0.00258653,0.0568623,-0,-0.0619411,-0.0265617,0.000242807,0.00208315,3
0.0785044,0.00266043,0.048459,-0,-0.0737446,-0.10257,0.000108199,0.00208689,6
0.0806045,0.00280824,0.0439773,-0,-0.100052,-0.220657,0.000113128,0.00208687,6
0.0827046,0.00288214,0.0338933,-0,-0.140304,-0.413536,0.000107838,0.00208848,6
0.0848047,0.00295604,0.0450977,-0,-0.194779,-0.585042,0.00037503,0.00208689,9
0.0869048,0.00302994,0.0322126,-0,-0.221116,-0.733824,0.000109772,0.00208795,6
0.0890048,0.00310384,0.035574,-0,-0.24133,-0.800162,0.000114901,0.00208737,6
0.0911049,0.00317774,0.0271707,-0,-0.254019,-0.879619,0.000109221,0.00208844,6
0.093205,0.00325164,0.0226889,-0,-0.258342,-0.912347,0.000487137,0.00208329,9
0.095305,0.00325164,0.0142856,-0.00314159,-0.230041,-0.880066,0.000147772,0.00208778,3
0.0974051,0.00325164,-0.00028011,-0.00314159,-0.209236,-0.851559,0.000111645,0.00208671,6
0.0995052,0.00325164,-0.00868341,-0.00314159,-0.193403,-0.820196,0.000109161,0.00208844,6
0.101605,0.00325164,-0.00868341,-0.00314159,-0.180861,-0.771343,0.000110603,0.00208732,6
0.103705,0.00325164,-0.00868341,-0.00314159,-0.170769,-0.732032,0.0004836,0.00208849,9
0.105805,0.00317774,-0.0165265,-0.00314159,-0.163126,-0.730824,0.000138094,0.00208662,3
0.107906,0.00317774,-0.0198878,-0.00314159,-0.158774,-0.725995,0.00010868,0.00208806,6
0.110006,0.00317774,-0.0148458,-0.00314159,-0.159394,-0.710228,0.000110463,0.00208729,6
0.112106,0.00310384,-0.0215685,-0.00314159,-0.167511,-0.766363,0.000107808,0.0020889,6
0.114206,0.00302994,-0.0182071,-0,-0.210465,-0.87418,0.000454646,0.00207882,9
0.116306,0.00295604,-0.0294115,-0,-0.209139,-0.909699,0.000123417,0.00208692,6
0.118406,0.00295604,-0.0327729,-0,-0.191995,-0.855045,0.000110053,0.00208681,6
0.120506,0.00288214,-0.0294115,-0,-0.1638,-0.733374,0.000112587,0.00208705,6
0.122606,0.00280824,-0.0327729,-0,-0.1296,-0.612558,0.000589965,0.00208827,9
0.124706,0.00273434,-0.0378148,-0,-0.0947215,-0.495159,0.000178599,0.00208496,3
0.126806,0.00266043,-0.0473386,-0,-0.064771,-0.413121,0.000111064,0.00208722,6
0.128906,0.00251263,-0.0490192,-0,-0.0456361,-0.345199,0.000111556,0.00208705,6
0.131006,0.00243873,-0.0445375,-0,-0,-0.151551,0.000122696,0.00208825,6
0.133106,0.00236483,-0.0456579,-0,0.0456361,0.0218921,0.000307386,0.00208657,9
0.135206,0.00221703,-0.0473386,-0,0.088749,0.183212,0.000109802,0.00208723,6
0.137307,0.00214313,-0.0456579,-0,0.126816,0.337274,0.000112186,0.00208696,6
0.139407,0.00206923,-0.0456579,-0,0.157313,0.455792,0.000110373,0.00208809,6
0.141507,0.00199533,-0.0411762,-0,0.177718,0.551162,0.000432727,0.0020868,9
0.143607,0.00184752,-0.0411762,-0,0.185508,0.580954,0.000110363,0.00208726,6
0.145707,0.00177362,-0.0344535,-0,0.178159,0.5763,0.000114321,0.00208707,6
0.147807,0.00169972,-0.0327729,-0,0.153149,0.484667,0.00010851,0.00208832,6
0.149907,0.00169972,-0.0249298,-0,0.107954,0.336912,0.000558538,0.0020872,9
