time,x,x_dot,theta,theta_dot,torque
0.41000000000000003,0.16319898,0.5772383,3.0091271,0.32331073,6.020813
0.41500000000000004,0.16437414,0.57350135,3.0098312,0.31228223,6.067505
0.42,0.1655421,0.56985694,3.0105138,0.3015548,6.1113586
0.425,0.16670299,0.56630665,3.011176,0.2911336,6.156311
0.43,0.16785699,0.5628421,3.0118182,0.28099105,6.1968994
0.435,0.1690043,0.5594671,3.012441,0.27114046,6.239929
0.44,0.17014508,0.5561738,3.0130446,0.2615559,6.278839
0.445,0.1712795,0.5529645,3.01363,0.25224468,6.3191833
0.45,0.17240769,0.54983336,3.0141973,0.24318793,6.3565674
0.455,0.1735298,0.54678017,3.0147474,0.23438542,6.394104
0.46,0.17464602,0.543802,3.0152805,0.22582752,6.4302063
0.465,0.17575645,0.5408972,3.0157971,0.2175085,6.4655457
0.47000000000000003,0.17686127,0.53806335,3.0162978,0.2094209,6.4997864
0.47500000000000003,0.1779606,0.53529876,3.016783,0.20155932,6.5332947
0.48,0.17905459,0.5326011,3.017253,0.19391574,6.565613
0.485,0.18014333,0.5299698,3.0177083,0.18648884,6.59787
0.49,0.181227,0.5274008,3.0181494,0.17926508,6.6279907
0.495,0.18230568,0.52489424,3.0185766,0.17224543,6.6584167
0.5,0.18337949,0.5224473,3.0189905,0.16542034,6.687378
0.505,0.18444856,0.5200581,3.019391,0.15878384,6.715454
0.51,0.185513,0.51772726,3.019779,0.15233824,6.7440796
0.515,0.18657294,0.5154505,3.0201545,0.14606908,6.770355
0.52,0.18762845,0.51322776,3.020518,0.13997644,6.7967834
0.525,0.18867967,0.5110563,3.0208697,0.13405158,6.8218384
0.53,0.18972665,0.5089374,3.0212102,0.12829852,6.8477173
0.535,0.19076952,0.5068659,3.0215394,0.12270047,6.870819
0.54,0.1918084,0.50484395,3.0218582,0.11726464,6.895294
0.545,0.19284335,0.50286657,3.0221663,0.111974195,6.9169617
0.55,0.19387446,0.50093687,3.0224643,0.10684042,6.9407043
0.555,0.19490182,0.49904954,3.0227525,0.10184483,6.9613647
0.56,0.19592553,0.49720517,3.023031,0.0969897,6.9825134
0.5650000000000001,0.19694567,0.49540326,3.0233002,0.09227406,7.003601
0.5700000000000001,0.1979623,0.49364147,3.0235603,0.0876898,7.0233765
0.5750000000000001,0.1989755,0.4919191,3.0238118,0.0832347,7.042877
0.58,0.19998537,0.49023378,3.0240545,0.07890076,7.0610657
0.585,0.20099197,0.48858765,3.0242891,0.07469529,7.0806274
0.59,0.20199536,0.4869754,3.0245156,0.07060097,7.0972595
0.595,0.20299564,0.48539945,3.024734,0.066625744,7.1153564
0.6,0.20399283,0.4838587,3.024945,0.0627659,7.132904
0.605,0.20498703,0.48234928,3.0251486,0.059008643,7.148285
0.61,0.20597832,0.48087275,3.0253448,0.055359237,7.164673
0.615,0.20696673,0.47942838,3.0255342,0.051815674,7.180786
0.62,0.20795232,0.47801372,3.0257168,0.048369348,7.195465
0.625,0.20893516,0.47662812,3.0258927,0.045018442,7.2099
0.63,0.20991531,0.47527215,3.026062,0.041764826,7.2247314
0.635,0.21089283,0.47394514,3.0262253,0.03860634,7.239258
0.64,0.21186775,0.47264332,3.0263824,0.03553063,7.2516785
0.645,0.21284014,0.47136962,3.0265338,0.03254741,7.265869
0.65,0.21381004,0.4701199,3.0266793,0.02964297,7.27771
0.655,0.21477753,0.46889722,3.0268192,0.02682748,7.2914124
0.66,0.21574263,0.46769768,3.0269537,0.024087988,7.302887
0.665,0.2167054,0.4665225,3.0270832,0.021428656,7.315155
0.67,0.21766587,0.46536872,3.0272071,0.018839486,7.325714
0.675,0.2186241,0.46424,3.0273263,0.016333167,7.338562
0.68,0.21958013,0.46313074,3.0274408,0.013890833,7.3481445
0.685,0.22053401,0.46204323,3.0275505,0.011519846,7.35907
0.6900000000000001,0.22148575,0.46097654,3.0276558,0.009217501,7.369568
0.6950000000000001,0.2224354,0.45992795,3.0277565,0.0069748834,7.37854
0.7000000000000001,0.22338302,0.45890164,3.027853,0.0048057213,7.389984
0.705,0.22432862,0.45789155,3.0279453,0.0026900321,7.397949
0.71,0.22527225,0.4569015,3.0280335,0.00064035505,7.4081726
0.715,0.22621398,0.45592862,3.0281177,-0.001352489,7.416809
0.72,0.2271538,0.4549739,3.0281982,-0.0032854937,7.4260254
0.725,0.22809173,0.45403415,3.0282748,-0.0051692277,7.4334106
0.73,0.22902784,0.45311356,3.028348,-0.0069895945,7.443329
0.735,0.22996214,0.45220613,3.0284176,-0.008766647,7.4497375
0.74,0.23089467,0.45131555,3.0284839,-0.0104880035,7.458374
0.745,0.23182546,0.45043907,3.0285468,-0.012162648,7.465454
0.75,0.23275454,0.44957775,3.0286064,-0.013787154,7.473175
0.755,0.23368193,0.44873106,3.0286632,-0.015363291,7.4806213
0.76,0.23460767,0.4478965,3.0287166,-0.016899312,7.4866333
0.765,0.23553178,0.4470778,3.0287673,-0.01838303,7.4948425
0.77,0.23645428,0.4462693,3.028815,-0.019832786,7.499817
