time_sec,x_cart,vel_cart,ang_pole,vel_pole,torque_input,encoder_duration_s,iteration_duration_s,bytesWaiting
0.012491,0,0.00140055,-0,-0,0.00505124,0.0122318,0.0124907,4018
0.0145911,0,-0.00028011,-0,-0,-0.00101025,0.00107412,0.00202859,512
0.0166912,0,-0.00028011,-0.00314159,0.023978,0.0447395,0.0010197,0.00208543,768
0.0187912,0,-0.00196077,-0.00314159,0.0320943,0.0702925,0.000193283,0.00208551,0
0.0208913,0,-0.00028011,-0.00314159,0.0277132,0.0592887,0.000314825,0.00208665,9
0.0229914,0,-0.00028011,-0.00314159,0.0139183,0.00555559,0.000107186,0.00208581,6
0.0250914,0,-0.00532209,-0.00314159,-0.00648684,-0.0921101,0.000105051,0.00208705,6
0.0271915,0,-0.00196077,-0.00314159,-0.0309792,-0.175389,0.000105944,0.00208848,6
0.0292916,0,-0.00196077,-0.00314159,-0.057316,-0.277975,0.000104861,0.00208759,6
0.0313916,0,-0.00364143,-0.00314159,-0.0835349,-0.386163,0.000299697,0.00208867,9
0.0334917,0,-0.00028011,-0.00314159,-0.107954,-0.469155,0.000113778,0.00208437,6
0.0355917,0,-0.00028011,-0.00314159,-0.129171,-0.551799,0.00010371,0.00208794,6
0.0376918,0,-0.00196077,-0.00314159,-0.146065,-0.623666,0.000104441,0.00208755,6
0.0397919,0,-0.00028011,-0.00314159,-0.157795,-0.663294,0.000657811,0.00208865,6
0.041892,0,-0.00532209,-0.00314159,-0.1638,-0.70487,0.00029604,0.0020847,3
0.043992,0,-0.00868341,-0.00314159,-0.1638,-0.716992,0.000104872,0.00208565,6
0.0460921,0,-0.00532209,-0.00314159,-0.157795,-0.681479,0.000106385,0.00208702,6
0.0481922,0,-0.00532209,-0.00314159,-0.146065,-0.635789,0.000117163,0.00208824,6
0.0502922,-7.38998e-05,-0.0114845,-0.00314159,-0.129171,-0.592484,0.000635981,0.00208753,9
0.0523923,-7.38998e-05,-0.0131652,-0.00314159,-0.107954,-0.515902,0.000275343,0.0020856,3
0.0544924,-0.000147801,-0.0131652,-0.00314159,-0.0835349,-0.421061,0.000102467,0.00208479,6
0.0565925,-0.000147801,-0.0182071,-0.00314159,-0.057316,-0.337119,0.000103749,0.00208704,6
0.0586925,-0.000147801,-0.0131652,-0.00314159,-0.0309792,-0.216349,0.000100173,0.00208839,6
0.0607926,-0.000221703,-0.0182071,-0.00314159,-0.00648684,-0.139407,0.000628888,0.00208763,9
0.0628927,-0.000221703,-0.0131652,-0.00314159,0.0139183,-0.0417411,0.000272277,0.00208574,3
0.0649927,-0.000295604,-0.00868341,-0.00314159,0.0277132,0.0278809,0.000104932,0.00208441,6
0.0670928,-0.000295604,-0.0131652,-0.00314159,0.0320943,0.0287822,0.000100233,0.00208835,6
0.0691929,-0.000295604,-0.00868341,-0.00314159,0.023978,0.0133317,0.000101144,0.00208757,6
0.0712929,-0.000295604,-0.00532209,-0.00314159,-0,-0.0679432,0.000627876,0.00208884,9
0.073393,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000267518,0.0020843,3
0.0754931,-0.000295604,0.00476187,-0.00314159,-0,-0.0315743,0.000104872,0.00208571,6
0.0775932,-0.000295604,0.00140055,-0.00314159,-0,-0.0436973,0.00010443,0.00208693,6
0.0796932,-0.000295604,0.00308121,-0.00314159,-0,-0.0376358,0.000101696,0.00208846,6
0.0817933,-0.000295604,0.00140055,-0.00314159,-0,-0.0436973,0.000598442,0.00208749,9
0.0838934,-0.000295604,0.00140055,-0.00314159,-0,-0.0436973,0.000270554,0.00208538,3
0.0859935,-0.000295604,-0.00364143,-0.00314159,-0,-0.0618818,0.000106805,0.00208425,6
0.0880935,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000108228,0.002088,6
0.0901936,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000104831,0.00208731,6
0.0922936,-0.000295604,0.00140055,-0.00314159,-0,-0.0436973,0.000605676,0.00208692,9
0.0943937,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000234117,0.00208419,3
0.0964938,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000106684,0.00208444,6
0.0985939,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000102767,0.00208824,6
0.100694,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000105884,0.00208728,6
0.102794,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000577725,0.00207492,9
0.104894,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000225081,0.00208437,3
0.106994,-0.000295604,0.00308121,-0.00314159,-0,-0.0376358,0.000104742,0.00208567,6
0.109094,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000107386,0.00208628,6
0.111194,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000102016,0.00208845,6
0.113294,-0.000295604,0.00308121,-0.00314159,-0,-0.0376358,0.000572055,0.0020801,9
0.115394,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000215914,0.00208561,3
0.117494,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000128565,0.0020841,6
0.119595,-0.000295604,-0.00364143,-0.00314159,-0,-0.0618818,0.000106425,0.00208787,6
0.121695,-0.000295604,0.00308121,-0.00314159,-0,-0.0376358,0.000104982,0.00208715,6
0.123795,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000564301,0.00208844,9
0.125895,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000209472,0.00208374,3
0.127995,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000106865,0.00208545,6
0.130095,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000105713,0.002087,6
0.132195,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000103298,0.00208828,6
0.134295,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.00055332,0.00208723,9
0.136395,-0.000295604,0.00308121,-0.00314159,-0,-0.0376358,0.000210374,0.0020855,3
0.138495,-0.000295604,0.00308121,-0.00314159,-0,-0.0376358,0.000105543,0.00208456,6
0.140595,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000105473,0.00208685,6
0.142695,-0.000295604,0.00140055,-0.00314159,-0,-0.0436973,0.000103098,0.00208825,6
0.144795,-0.000295604,0.00140055,-0.00314159,-0,-0.0436973,0.000544124,0.0020873,9
0.146896,-0.000295604,-0.00532209,-0.00314159,-0,-0.0679432,0.000190898,0.00208534,3
0.148996,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000106495,0.00208462,6
0.151096,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000117395,0.002088,6
0.153196,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000107135,0.00208705,6
0.155296,-0.000295604,-0.00364143,-0.00314159,-0,-0.0618818,0.000535077,0.00208841,9
0.157396,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000182222,0.00208441,3
0.159496,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000105773,0.00208553,6
0.161596,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000106474,0.00208682,6
0.163696,-0.000295604,0.00140055,-0.00314159,-0,-0.0436973,0.000102758,0.00208863,6
0.165796,-0.000295604,0.00308121,-0.00314159,-0,-0.0376358,0.000550305,0.00208737,9
0.167896,-0.000295604,0.00308121,-0.00314159,-0,-0.0376358,0.000188855,0.00208537,3
0.169996,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000108327,0.00208443,6
0.172096,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000103128,0.00208785,6
0.174197,-0.000295604,0.00140055,-0.00314159,-0,-0.0436973,0.000104771,0.00208724,6
0.176297,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000541138,0.0020887,9
0.178397,-0.000295604,0.00140055,-0.00314159,-0,-0.0436973,0.000183304,0.00208422,3
0.180497,-0.000295604,0.00140055,-0.00314159,-0,-0.0436973,0.000105893,0.00208084,6
0.182597,-0.000295604,-0.00364143,-0.00314159,-0,-0.0618818,0.000102828,0.00208803,6
0.184697,-0.000295604,0.00140055,-0.00314159,-0,-0.0436973,0.000118095,0.00208745,6
0.186797,-0.000295604,-0.00364143,-0.00314159,-0,-0.0618818,0.000515902,0.00208846,9
0.188897,-0.000295604,-0.00364143,-0.00314159,-0,-0.0618818,0.000116253,0.00208414,3
0.190997,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.00010367,0.0020878,6
0.193097,-0.000295604,-0.00532209,-0.00314159,-0,-0.0679432,0.000105483,0.00208715,6
0.195197,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000102507,0.00208849,6
0.197297,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.00048753,0.00208708,9
0.199397,-0.000295604,-0.00196077,-0.00314159,-0,-0.0558203,0.000105213,0.00208545,6
0.201497,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000105612,0.00208678,6
0.203598,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000102718,0.00208829,6
0.205698,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000105302,0.00208736,6
0.207798,-0.000295604,-0.00028011,-0.00314159,-0,-0.0497588,0.000521653,0.00208818,9
0.209898,-0.000295604,-0.00028011,-0.00628319,0.023978,-0.0040091,0.000113527,0.00208435,3
0.211998,-0.000295604,-0.00196077,-0.00628319,0.0320943,0.0215439,0.000101285,0.00208804,6
0.214098,-0.000295604,0.00140055,-0.00628319,0.0277132,0.0166016,0.00010423,0.00207885,6
0.216198,-0.000295604,-0.00028011,-0.00628319,0.0139183,-0.043193,9.9702e-05,0.0020883,6
0.218298,-0.000295604,-0.00196077,-0.00628319,-0.00648685,-0.128736,0.000503168,0.00208747,9
0.220398,-0.000295604,-0.00196077,-0.00628319,-0.0309792,-0.224137,0.000135067,0.0020856,3
0.222498,-0.000295604,0.00140055,-0.00628319,-0.057316,-0.3146,0.000102918,0.00208679,6
0.224598,-0.000295604,-0.00028011,-0.00628319,-0.0835349,-0.422788,0.000102217,0.00208714,6
0.226698,-0.000295604,0.00140055,-0.00628319,-0.107954,-0.511842,0.000100263,0.00208865,6
0.228798,-0.000295604,-0.00028011,-0.00628319,-0.129171,-0.600548,0.000516523,0.00208744,9
0.230898,-0.000295604,-0.00196077,-0.00628319,-0.146065,-0.672414,0.000112505,0.00208572,3
0.232999,-0.000295604,-0.00028011,-0.00628319,-0.157795,-0.712043,0.000103339,0.00208711,6
0.235099,-0.000295604,-0.00196077,-0.00628319,-0.1638,-0.741495,9.9853e-05,0.00208843,6
0.237199,-0.000295604,-0.00028011,-0.00628319,-0.1638,-0.735434,0.000101716,0.00208743,6
0.239299,-0.000369504,-0.00532209,-0.00628319,-0.157795,-0.730502,0.00048768,0.00208856,9
0.241399,-0.000369504,-0.00196077,-0.00628319,-0.146065,-0.672689,0.00010431,0.00208451,6
0.243499,-0.000369504,-0.00364143,-0.00628319,-0.129171,-0.612946,0.000101124,0.00208809,6
0.245599,-0.000369504,-0.00700275,-0.00628319,-0.107954,-0.542425,0.000102507,0.00208756,6
0.247699,-0.000369504,-0.00980385,-0.00628319,-0.0835349,-0.457412,0.000100243,0.00208868,6
0.249799,-0.000443405,-0.00868341,-0.00628319,-0.057316,-0.351519,0.000515741,0.00208758,9
0.251899,-0.000443405,-0.00980385,-0.00628319,-0.0309792,-0.252974,0.000103269,0.00208557,6
0.253999,-0.000443405,-0.00700275,-0.00628319,-0.00648686,-0.14747,0.000118927,0.00208689,6
0.256099,-0.000443405,-0.0131652,-0.00628319,0.0139183,-0.0902146,0.000100884,0.00208844,6
0.258199,-0.000517307,-0.00532209,-0.00628319,0.0277132,-0.0084696,0.000104301,0.00208723,6
0.2603,-0.000517307,-0.00868341,-0.00628319,0.0320943,-0.00352731,0.000481899,0.00208869,9
0.2624,-0.000517307,-0.00364143,-0.00628319,0.023978,-0.0169573,0.000103809,0.0020844,6
0.2645,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000107426,0.00207872,6
0.2666,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000103029,0.00208822,6
0.2687,-0.000517307,0.00308121,-0.00628319,-0,-0.0861093,0.00010396,0.00208721,6
0.2708,-0.000517307,0.00140055,-0.00628319,-0,-0.0921707,0.000516684,0.00208874,9
0.2729,-0.000517307,0.00308121,-0.00628319,-0,-0.0861093,0.000108448,0.00208409,6
0.275,-0.000517307,0.00308121,-0.00628319,-0,-0.0861093,0.000103259,0.00208795,6
0.2771,-0.000517307,-0.00700275,-0.00628319,-0,-0.122478,0.00010431,0.00208745,6
0.2792,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000101806,0.00208847,6
0.2813,-0.000517307,0.00140055,-0.00628319,-0,-0.0921707,0.000466662,0.00208722,9
0.2834,-0.000517307,0.00140055,-0.00628319,-0,-0.0921707,0.000104301,0.00208545,6
0.2855,-0.000517307,-0.00364143,-0.00628319,-0,-0.110355,0.000104321,0.00208688,6
0.2876,-0.000517307,-0.00196077,-0.00628319,-0,-0.104294,0.000118687,0.00208849,6
0.289701,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000106765,0.00208704,6
0.291801,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.00051481,0.00208855,9
0.293901,-0.000517307,0.00140055,-0.00628319,-0,-0.0921707,0.00010983,0.00208428,6
0.296001,-0.000517307,0.00308121,-0.00628319,-0,-0.0861093,0.000103018,0.00208794,6
0.298101,-0.000517307,0.00308121,-0.00628319,-0,-0.0861093,0.000105653,0.00208725,6
0.300201,-0.000517307,-0.00196077,-0.00628319,-0,-0.104294,0.000101886,0.00208865,6
0.302301,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000472522,0.00208731,9
0.304401,-0.000517307,-0.00196077,-0.00628319,-0,-0.104294,0.000129426,0.00208543,6
0.306501,-0.000517307,0.00308121,-0.00628319,-0,-0.0861093,0.00010403,0.00208657,6
0.308601,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000103599,0.00208726,6
0.310701,-0.000517307,0.00140055,-0.00628319,-0,-0.0921707,0.000102777,0.00208838,6
0.312801,-0.000517307,-0.00532209,-0.00628319,-0,-0.116417,0.000504992,0.00207957,9
0.314901,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.00010428,0.0020854,6
0.317002,-0.000517307,-0.00364143,-0.00628319,-0,-0.110355,0.000111754,0.00208686,6
0.319102,-0.000517307,-0.00196077,-0.00628319,-0,-0.104294,0.000108849,0.00208815,6
0.321202,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000110813,0.00208687,6
0.323302,-0.000517307,-0.00532209,-0.00628319,-0,-0.116417,0.000470018,0.00208858,9
0.325402,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.00011478,0.00208425,6
0.327502,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.00010971,0.00208808,6
0.329602,-0.000517307,0.00476187,-0.00628319,-0,-0.0800478,0.00010933,0.00208723,6
0.331702,-0.000517307,-0.00700275,-0.00628319,-0,-0.122478,0.000102777,0.00208844,6
0.333802,-0.000517307,-0.00364143,-0.00628319,-0,-0.110355,0.000511213,0.00208755,9
0.335902,-0.000517307,0.00308121,-0.00628319,-0,-0.0861093,0.000108618,0.00208546,6
0.338002,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000106845,0.00208664,6
0.340102,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000102116,0.0020883,6
0.342202,-0.000517307,-0.00196077,-0.00628319,-0,-0.104294,0.000103379,0.00208759,6
0.344303,-0.000517307,0.00140055,-0.00628319,-0,-0.0921707,0.000458557,0.00208859,9
0.346403,-0.000517307,-0.00196077,-0.00628319,-0,-0.104294,0.000105873,0.00208434,6
0.348503,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000104661,0.00208102,6
0.350603,-0.000517307,0.00140055,-0.00628319,-0,-0.0921707,0.000106183,0.00208846,6
0.352703,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.00012583,0.00208752,6
0.354803,-0.000517307,0.00308121,-0.00628319,-0,-0.0861093,0.000512456,0.0020885,9
0.356903,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000107677,0.00208417,6
0.359003,-0.000517307,0.00308121,-0.00628319,-0,-0.0861093,0.000103379,0.00208786,6
0.361103,-0.000517307,-0.00364143,-0.00628319,-0,-0.110355,0.00010406,0.0020875,6
0.363203,-0.000517307,0.00140055,-0.00628319,-0,-0.0921707,0.000102847,0.00208835,6
0.365303,-0.000517307,0.00140055,-0.00628319,-0,-0.0921707,0.000466732,0.00208736,9
0.367403,-0.000517307,-0.00364143,-0.00628319,-0,-0.110355,0.000112355,0.00208544,6
0.369503,-0.000517307,0.00140055,-0.00628319,-0,-0.0921707,0.000111844,0.0020867,6
0.371604,-0.000517307,0.00140055,-0.00628319,-0,-0.0921707,0.000102537,0.00208814,6
0.373704,-0.000517307,-0.00028011,-0.00628319,-0,-0.0982322,0.000106444,0.00208686,6
0.375804,-0.000517307,-0.00196077,-0.00628319,-0,-0.104294,0.000517335,0.00208848,9
0.377904,-0.000517307,0.00140055,-0.00942478,0.023978,-0.0464211,0.000103799,0.00208428,6
0.380004,-0.000517307,0.00140055,-0.00942478,0.0320943,-0.0148066,0.000101215,0.00208804,6
0.382104,-0.000517307,0.00308121,-0.00942478,0.0277132,-0.0258104,0.000103309,0.00208707,6
0.384204,-0.000517307,-0.00364143,-0.00942478,0.0139183,-0.103789,9.9793e-05,0.00208866,6
0.386304,-0.000517307,0.00140055,-0.00942478,-0.00648686,-0.165086,0.000469337,0.00208737,9
0.388404,-0.000517307,0.00140055,-0.00942478,-0.0309792,-0.260488,0.00012569,0.00208555,6
0.390504,-0.000517307,-0.00196077,-0.00942478,-0.057316,-0.375197,0.000102597,0.00208665,6
0.392604,-0.000517307,-0.00028011,-0.00942478,-0.0835349,-0.471262,0.000102246,0.0020874,6
0.394704,-0.000517307,-0.00364143,-0.00942478,-0.107954,-0.5785,0.000102196,0.00208871,6
